host_is_superhost,host_total_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,cancellation_policy,price,smoking allowed,air conditioning,suitable for events,24-hour check-in,internet,essentials,heating,family/kid friendly,tv,elevator in building,hot tub,doorman,free parking on premises,indoor fireplace,hair dryer,wireless internet,gym,fire extinguisher,breakfast,washer / dryer,iron,other pet(s),dryer,kitchen,buzzer/wireless intercom,washer,wheelchair accessible,first aid kit,safety card,lock on bedroom door,pool,laptop friendly workspace,cable tv,hangers,smoke detector,pets live on this property,shampoo,cat(s),carbon monoxide detector,pets allowed,dog(s)
0,1,43,3,2,2,1.0,0,1,1,1,3,1,80.0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
1,1,43,3,2,4,1.0,1,2,1,2,2,2,110.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
1,1,43,13,2,3,1.0,1,2,1,2,3,0,148.0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,1,43,13,2,4,1.5,2,2,1,4,2,2,350.0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0
0,1,43,3,2,3,1.5,1,2,1,1,2,2,150.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,1,5,1.0,1,1,1,1,1,1,150.0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,1,43,3,2,2,1.0,0,1,4,1,1,1,100.0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,43,7,2,10,3.0,4,4,1,1,1,0,349.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,1,43,7,2,2,1.0,0,1,1,1,2,2,110.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
1,1,43,13,2,4,1.0,1,2,1,2,2,2,160.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,2,4,1.0,1,3,1,2,3,2,130.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,43,13,2,2,1.0,0,1,1,2,1,2,99.0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
1,1,43,3,2,2,1.0,0,1,1,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,43,3,2,3,1.0,1,1,4,2,2,2,137.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
1,1,43,3,1,3,1.0,1,1,1,1,1,1,20.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
1,1,43,10,2,2,1.5,1,1,1,2,4,0,150.0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
1,1,43,3,2,2,1.0,1,1,1,2,2,2,145.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
1,1,43,10,1,2,1.0,1,1,4,1,1,1,80.0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
